"","author","median_pub_date"
"1","a l o e 18211893",1887
"2","aaron chester",1973
"3","abbas khwaja ahmad",1971
"4","abbey edward 19271989",1977
"5","abbott george 18871995",1954
"6","abbott jane 1881",1924
"7","abdullah achmed 18811945",1919
"8","abe kb 19241993",1976
"9","about edmond 18281885",1868
"10","abrahams peter 1919",1955
"11","abse dannie",1972
"12","achebe chinua",1973
"13","acker kathy 19481997",1985
"14","ackroyd peter 1949",1994
"15","acton harold 19041994",1958
"16","adams alice 19261999",1988
"17","adams andy 18591935",1911
"18","adams cleve f 18951949",1942
"19","adams douglas 19522001",1988
"20","adams f colburn",1856
"21","adams frederick upham 18591921",1903
"22","adams samuel hopkins 18711958",1922
"23","adams william taylor 18221897",1890
"24","ade george 18661944",1906
"25","adler warren",1981
"26","agee jonis",1996
"27","aguilar grace 18161847",1858
"28","aiken conrad 18891973",1934
"29","aimard gustave 18181883",1869
"30","aimwell walter 18221859",1858
"31","ainsworth william harrison 18051882",1876
"32","aitken robert 1872",1910
"33","aksenov vasili 19322009",1984
"34","albrand martha",1955
"35","alcock deborah 18351913",1893
"36","aldanov mark aleksandrovich 18861957",1945
"37","alden joseph 18071885",1847
"38","aldington richard 18921962",1933
"39","aldiss brian w 19252017",1980
"40","aldrich bess streeter 18811954",1934
"41","aldrich thomas bailey 18361907",1886
"42","aldridge james 1918",1958
"43","aldridge sarah",1982
"44","alexander lloyd",1987
"45","alexander mrs 18251902",1890
"46","algren nelson 19091981",1966
"47","allen grant 18481899",1893
"48","allen hervey 18891949",1946
"49","allen james lane 18491925",1902
"50","allen willis boyd 18551938",1892
"51","allende isabel",1992
"52","allingham margery 19041966",1954
"53","altsheler joseph a 18621919",1913
"54","alvarez julia",2001
"55","amado jorge 19122001",1979
"56","ambler eric 19091998",1965
"57","amis kingsley",1972
"58","amis martin",1992
"59","amrita pritam 19192005",1978
"60","anand mulk raj 19052004",1967
"61","anaya rudolfo a",1994
"62","andersen nex martin 18691954",1921
"63","anderson nephi 18651923",1913
"64","anderson poul 19262001",1974
