"id1", "id2"
difcovered,discovered
confidered,considered
confideration,consideration
confiderable,considerable
monfieur,monsieur
ftranger,stranger
fuperior,superior
difcover,discover
fituation,situation
whisky,whiskey
confufion,confusion
fentiments,sentiments
occafions,occasions
fomething,something
obferving,observing
recompence,recompense
confcience,conscience
affiftance,assistance
queftion,questions
occafion,occasion
determin,determine
goodnefs,goodness
fervants,servants
bufinefs,business
diftrefs,distress
countefs,countess
expences,expenses
defirous,desirous
weaknefs,weakness
neceffary,necessary
neceflary,necessary
fecretary,secretary
difcovery,discovery
confidering,considering
confequenc,econsequence
fufficient,sufficient
refentment,resentment
charaćter,character
ourfelves,ourselves
pleafures,pleasures
fometimes,sometimes
yourfelf,yourself
difcourfe,discourse
happinefs,happiness
notwithftading,notwithstanding
pleafing,pleasing
fpeaking,speaking
ftrength,strength
friendfhip,friendship
refolution,resolution
generofity,generosity
enterprize,enterprise
propofal,proposal
chearful,cheerful
miferable,miserable
efpecially,especially
prefently,presently
persectly,perfectly
extreamly,extremely
inftantly,instantly
publickly,publicly
difagreeable,disagreeable
prefented,presented
perfuaded,persuaded
fatisfied,satisfied
satissied,satisfied
furprifed,surprised
abfolutely,absolutely
chriftian,christian
converfation,conversation
impoffible,impossible
facrifice,sacrifice
satissaction,satisfaction
fatisfaction,satisfaction
refolved,resolved
promifed,promised
fuppofed,supposed
fuffered,suffered
obferved,observed
furrounded,surrounded
poffible,possible
preferve,preserve
handfome,handsome
pleafure,pleasure
prefence,presence
fenfible,sensible
diftance,distance
oppofite,opposite
likewife,likewise
intirely,entirely
poffibly,possibly
themfelves,themselves
beautisul,beautiful
curiofity,curiosity
neceffity,necessity
difpofition,disposition
defcription,description
circumftances,circumstances
circumftance,circumstance
intereft,interest
pleafant,pleasant
greateft,greatest
fomewhat,somewhat
princefs,princess
miftrefs,mistress
ftruck,struck
perceiv,perceive
juftice,justice
surpriz,surprise
paffion,passion
requeft,request
subjećt,subject
publick,public
purpofe,purpose
reafons,reasons
promife,promise
perfons,persons
persect,perfect
prefent,present
pleafed,pleased
meafure,measure
inftead,instead
higheft,highest
hiftory,history
hufband,husband
filence,silence
fincere,sincere
inftant,instant
fociety,society
sinding,finding
fpirits,spirits
fuccefs,success
ftrange,strange
fuppofe,suppose
fupport,support
exprefs,express
herfelf,herself
farewel,farewell
fervant,servant
feveral,several
englijh,english
cloaths,clothes
expence,expense
obferve,observe
fervice,service
fatisfy,satisfy
continu,continue
condućt,conduct
diftant,distance
confefs,confess
confent,consent
defired,desired
defires,desires
defpair,despair
consess,confess
sarther,farther
convinc,convince
expofed,exposed
deferve,deserve
englifh,english
defigns,designs
fhe,she
fay,say
faid,said
fuch,such
fome,some
thofe,those
thefe,these
whofe,whose
juft,just
feemed,seemed
moft,most
muft,must
fmall,small
fhould,should
fent,sent
advis,advise
afide,aside
afked,asked
afleep,asleep
aft,after
capt,captain
agin,against
almoft,almost
anfwer,answer
arofe,arose
arriv,arrive
beft,best
bein,being
believ,believe
besore,before
breaft,breast
ther,there
thi,this
propos,propose
truft,trust
paft,past
pafs,pass
noife,noise
rofe,rose
unlefs,unless
ufual,usual
tbe,the
utmoft,utmost
jhe,the
resolv,resolve
mifery,misery
refolv,resolve
prifon,prison
promis,promise
retir,retire
reafon,reason
raife,raise
raifed,raised
itfelf,itself
imagin,imagine
receiv,receive
prov,prove
mifs,miss
perfon,person
plac,place
pleafe,please
houfes,houses
houfe,house
horfe,horse
horfes,horses
ifland,island
grafs,grass
myfelf,myself
fick,sick
fide,side
honeft,honest
filent,silent
fince,since
fingle,single
firft,first
fleep,sleep
ﬂoor,floor
foon,soon
fooner,sooner
foft,soft
sind,find
sirst,first
fpeak,speak
fpoke,spoke
ftand,stand
ftate,state
fpirit,spirit
ftay,stay
ftood,stood
forrow,sorrow
ftory,story
ftill,still
ftrong,strong
fpent,spent
figh,sigh
fifter,sister
fides,sides
fudden,sudden
fuffer,suffer
fure,sure
ftruck,struck
fweet,sweet
forry,sorry
oblig,oblige
observ,observe
fafe,safe
falfe,false
facred,sacred
evry,every
ferve,serve
ferved,served
eafe,ease
eafily,easily
refle,reflex
fliall,flail
excufe,excuse
fcene,scene
fecond,second
fecret,secret
feems,seems
feek,seek
feem,seem
feen,seen
fecure,secure
engag,engage
eafy,easy
fhew,shew
fhall,shall
drefs,dress
feldom,seldom
fcarce,scarce
felf,self
caftle,castle
glafs,glass
caufe,cause
caus,cause
fenfe,sense
efcape,escape
efteem,esteem
eftate,estate
vith,with
elfe,else
forc,force
ful,full
clofe,close
visier,vizier
faw,saw
fea,sea
fhip,ship
fhort,short
fhou,thou
caft,cast
desir,desire
fense,fence
courfe,course
defire,desire
defign,design
termes,terms
loofe,loose
sur,sure
cuftom,custom
fhare,share
mme,madame
suppos,suppose
praife,praise
crofs,cross
vifit,visit
wifh,wish
fupply,supply
feized,seized
prieft,priest
belov,below
repofe,repose
feven,seven
senfe,sense
croud,crowd
wifdom,wisdom
worfe,worse
wifhed,wished
whilft,whilst
fung,sung
seiz,seize
wifhes,wishes
ufeful,useful
faft,fast
pag,page
assur,assure
vertue,virtue
prepar,prepare
guefs,guess
fearch,search
fevere,severe
fhore,shore
advanc,advance
uneafy,uneasy
amaz,amaze
rifing,rising
fex,sex
hym,hymn
bufy,busy
fpread,spread
leaft,least
laft,last
vaft,vast
hav,have
ance,once
fliould,should
himfelf,himself
addrefs,address
againft,against
amongft,amongst
anfwered,answered
becaufe,because
befides,besides
majefty,majesty
lordfhip,lordship
theresore,therefore
leifure,leisure
underftand,understand
univerfal,universal
underftood,understood
underftand,ingunderstanding
propofed,proposed
thoufand,thousand
treafurer,treasurer
otherwife,otherwise
kindnefs,kindness
tendernefs,tenderness
